Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted,num_pages
Peter Pan,J.M. Barrie,1911-01-01 00:00:00,155 pages,"['Fantasy', 'Fiction', 'Childrens']",4.04,one starry night peter pan and tinker bell lead the three darling children over the rooftops of london and away to neverland  the island where lost boys play mermaids splash and fairies make mischief but a villainouslooking gang of pirates lurk in the docks led by the terrifying captain james hook magic and excitement are in the air but if captain hook has his way before long someone will be walking the plank and swimming with the crocodiles,1,155.0
Anne of Green Gables,L.M. Montgomery,1908-01-01 00:00:00,320 pages,"['Classics', 'Fiction', 'Young Adult']",4.32,this heartwarming story has beckoned generations of readers into the special world of green gables an oldfashioned farm outside a town called avonlea anne shirley an elevenyearold orphan has arrived in this verdant corner of prince edward island only to discover that the cuthbertselderly matthew and his stern sister marillawant to adopt a boy not a feisty redheaded girl but before they can send her back annewho simply must have more scope for her imagination and a real homewins them over completely a muchloved classic that explores all the vulnerability expectations and dreams of a child growing up anne of green gables is also a wonderful portrait of a time a place a family and most of all love with an afterword by jennifer lee carell,1,320.0
Harry Potter and the Goblet of Fire,J.K. Rowling,2000-07-08 00:00:00,734 pages,"['Fantasy', 'Fiction', 'Young Adult']",4.57,it is the summer holidays and soon harry potter will be starting his fourth year at hogwarts school of witchcraft and wizardry harry is counting the days there are new spells to be learnt more quidditch to be played and hogwarts castle to continue exploring but harry needs to be careful  there are unexpected dangers lurking,1,734.0
Carrie,Stephen        King,1974-04-05 00:00:00,272 pages,"['Horror', 'Fiction', 'Thriller']",3.99,a modern classic carrie introduced a distinctive new voice in american fiction  stephen king the story of misunderstood high school girl carrie white her extraordinary telekinetic powers and her violent rampage of revenge remains one of the most barrierbreaking and shocking novels of all timemake a date with terror and live the nightmare that iscarrieback cover,1,272.0
The Devil Wears Prada,Lauren Weisberger,2003-04-15 00:00:00,384 pages,"['Chick Lit', 'Fiction', 'Contemporary']",3.81,a delightfully dishy novel about the alltime most impossible boss in the history of impossible bossesandrea sachs a smalltown girl fresh out of college lands the job a million girls would die for hired as the assistant to miranda priestly the highprofile fabulously successful editor of runway magazine andrea finds herself in an office that shouts prada armani versace at every turn a world populated by impossibly thin heartwrenchingly stylish women and beautiful men clad in fineribbed turtlenecks and tight leather pants that show off their lifelong dedication to the gym with breathtaking ease miranda can turn each and every one of these hip sophisticates into a scared whimpering childthe devil wears prada gives a rich and hilarious new meaning to complaints about the boss from hell narrated in andreas smart refreshingly disarming voice it traces a deep dark devilish view of life at the top only hinted at in gossip columns and over cosmopolitans at the trendiest cocktail parties from sending the latest notyetinstores harry potter to mirandas children in paris by private jet to locating an unnamed antique store where miranda had at some point admired a vintage dresser to serving lattes to miranda at precisely the piping hot temperature she prefers andrea is sorely tested each and every dayand often late into the night with orders barked over the phone she puts up with it all by keeping her eyes on the prize a recommendation from miranda that will get andrea a top job at any magazine of her choosing as things escalate from the merely unacceptable to the downright outrageous however andrea begins to realize that the job a million girls would die for may just kill her and even if she survives she has to decide whether or not the job is worth the price of her soul,1,384.0
The Joy Luck Club,Amy Tan,1989-01-01 00:00:00,352 pages,"['Fiction', 'Historical Fiction', 'Classics']",3.97,alternate cover editions of isbn 9780143038092 can be found herefour mothers four daughters four families whose histories shift with the four winds depending on whos telling the stories in 1949 four chinese women recent immigrants to san francisco meet weekly to play mahjong and tell stories of what they left behind in china united in loss and new hope for their daughters futures they call themselves the joy luck club their daughters who have never heard these stories think their mothers advice is irrelevant to their modern american lives  until their own inner crises reveal how much theyve unknowingly inherited of their mothers pasts with wit and sensitivity amy tan examines the sometimes painful often tender and always deep connection between mothers and daughters as each woman reveals her secrets trying to unravel the truth about her life the strings become more tangled more entwined mothers boast or despair over daughters and daughters roll their eyes even as they feel the inextricable tightening of their matriarchal ties tan is an astute storyteller enticing readers to immerse themselves into these lives of complexity and mystery,1,352.0
One Flew Over the Cuckoo’s Nest,Ken Kesey,1962-02-01 00:00:00,325 pages,"['Fiction', 'Classics', 'Psychology']",4.2,alternate cover edition of isbn 9780451163967tyrannical nurse ratched rules her ward in an oregon state mental hospital with a strict and unbending routine unopposed by her patients who remain cowed by mindnumbing medication and the threat of electric shock therapy but her regime is disrupted by the arrival of mcmurphy  the swaggering funloving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates his struggle is seen through the eyes of chief bromden a seemingly mute halfindian patient who understands mcmurphys heroic attempt to do battle with the powers that keep them imprisoned ken keseys extraordinary first novel is an exuberant ribald and devastatingly honest portrayal of the boundaries between sanity and madness,1,325.0
Harry Potter and the Order of the Phoenix,J.K. Rowling,2003-06-21 00:00:00,912 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.5,harry potter is about to start his fifth year at hogwarts school of witchcraft and wizardry unlike most schoolboys harry never enjoys his summer holidays but this summer is even worse than usual the dursleys of course are making his life a misery but even his best friends ron and hermione seem to be neglecting himharry has had enough he is beginning to think he must do something anything to change his situation when the summer holidays come to an end in a very dramatic fashion what harry is about to discover in his new year at hogwarts will turn his world upside down,1,912.0
The Golden Compass,Philip Pullman,1995-07-01 00:00:00,399 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.03,lyra is rushing to the cold far north where witch clans and armored bears rule north where the gobblers take the children they stealincluding her friend roger north where her fearsome uncle asriel is trying to build a bridge to a parallel worldcan one small girl make a difference in such great and terrible endeavors this is lyra a savage a schemer a liar and as fierce and true a champion as roger or asriel could wantbut what lyra doesnt know is that to help one of them will be to betray the other,1,399.0
Fahrenheit 451,Ray Bradbury,1953-10-19 00:00:00,158 pages,"['Fiction', 'Science Fiction', 'Dystopia']",3.96,fahrenheit 451 ofrece la historia de un sombrío y horroroso futuro montag el protagonista pertenece a una extraña brigada de bomberos cuya misión paradójicamente no es la de sofocar incendios sino la de provocarlos para quemar libros porque en el país de montag está terminantemente prohibido leer porque leer obliga a pensar y en el país de montag esta prohibido pensar porque leer impide ser ingenuamente feliz y en el país de montag hay que ser feliz a la fuerza,1,158.0
